comment_text,confidence_score,id,predicted_label,published_at,source
رد على الاخوان اللي يسألون عن رسوم البطاقه احب اقولهم البطاقه مجانية مدى الحياة حسب ماهو موضح فالتطبيق وبدون رسوم وكذالك محفظة برق هي محفظة رقمية سعودية ولا تعمل الا على رقم تلفون سعودي ،، وشكرا للاخ احمد اللذي قام على اعداد هذا الفيديو الأكثر من رائع واللذي وضح فيه بكل احترافيه جميع مايتعلق بالبطاقه من الاف الي الياء ،، تقبل تحياتي استاذ احمد وبارك الله فيك وفي جهودك 🌹🌹,,647,,2024-08-30 03:11:42+00:00,
BF3A3CB972GCR<br><br><br>كودي الله يسعدكم ويرزقكم يارب,,646,,2024-08-31 02:02:52+00:00,
4D8E49ECDAGCR الكود حقي لاتقصرون,,459,,2024-08-31 15:16:40+00:00,
اقدر اطلب من المواقع الاجنبيه زي ايهرب بهذه البطاقة؟,,645,,2024-09-02 07:17:33+00:00,
كيف أفعلها بطاقه,,644,,2024-09-02 09:40:12+00:00,
كيف افعل بطاقة,,458,,2024-09-02 10:22:56+00:00,
طبعا هذا حاليا لين يجيهم عدد من الناس و ثم فجاة تتغير الشروط والامتيازات ذي و تصير دبل و ثري,,411,,2024-09-03 07:27:23+00:00,
جزاك الله خير وبارك الله فيك,,643,,2024-09-04 11:19:18+00:00,
‏يا جماعة الرد الآلي يتكلم إنجليزي وأنا ما افهم إنجليزي وش الحل😂,,642,,2024-09-05 11:21:50+00:00,
هل يمكن التعامل مع هذه البطاقه بالعملات الرقمية ؟؟؟,,641,,2024-09-05 16:45:17+00:00,
‏0B03AABAB5GCR,,640,,2024-09-07 23:42:40+00:00,
الكود 51396BE18BGCR,,639,,2024-09-08 23:02:00+00:00,
ياخي مو مرتاح اخاف انه يعتبر قمار اللي يعرف حكمه يعلمني ؟,,638,,2024-09-09 13:13:29+00:00,
في BUK برق ١٣ ريال كيف اطلعها,,410,,2024-09-09 17:48:34+00:00,
سلام لما احط تفعيل معرفة الوجه يحط ان فيه مشكله من الاعدادات ومافيه شي كل شي مفعل ايش الحل,,637,,2024-09-11 02:02:09+00:00,
و هل يعمل هنا في الجزائر اخي,,636,,2024-09-11 19:28:45+00:00,
السلام عليكم ورحمة الله وبركاته <br>انا نزلت التطبيق بحول اسجل بديني الرقم خطا,,635,,2024-09-13 23:53:04+00:00,
17DCA2F795GCR,,634,,2024-09-14 09:55:02+00:00,
بيقولي رقم التليفون غلط,,633,,2024-09-15 17:36:12+00:00,
598E5E2F0CGCR,,632,,2024-09-16 10:22:29+00:00,
طيب كيف افعل البطاقه,,631,,2024-09-16 12:57:02+00:00,
طلبت من 15 يوم ماوصلت ليه😭,,630,,2024-09-16 18:39:57+00:00,
لو سمحتم طلعت بطاقة ولم تتفعل عندي <br>وتم تنشيط البطاقه <br>عندي <br>ولم اقدر اسحب من نقاط البيع,,629,,2024-09-17 18:09:59+00:00,
كيف اسجل من جديد في تطبيق,,628,,2024-09-17 22:46:39+00:00,
ارجو الرد علا سألي هلا عندهم بطاقة مدى ولا بس فيزا,,457,,2024-09-21 21:44:20+00:00,
ياعيال انا عندي بنك الرياض بعد ماطلعتها يضرها ولا ؟,,627,,2024-09-28 21:02:34+00:00,
انا باجي ادخل رقمي ما بيرضاش,,626,,2024-10-01 10:23:22+00:00,
انا باجي ادخل رقمي ما بيرضاش هو لازم ابقى موجود في السعوديه عشان يشتغل,,625,,2024-10-01 10:23:53+00:00,
انا باجي ادخل رقمي ما بيرضاش هو لازم ابقى موجود في السعوديه عشان يشتغل,,624,,2024-10-01 10:24:12+00:00,
80B5157D61GCR,,623,,2024-10-01 17:34:14+00:00,
عندي سؤال بس هل اقدر استخدم اس تي سي باي الفيزا في علي اكسبرس,,376,,2024-10-05 07:33:20+00:00,
ممكن شرح التحويل الدولي ؟,,622,,2024-10-06 21:17:19+00:00,
أنا عندي إس تي سي باي هل إذا فعلت برق هل يضر <br>أرجو الإفادة🌹,,621,,2024-10-07 15:59:05+00:00,
حولت مبلغ على محفظة برق وماوصلني ايش السبب,,375,,2024-10-08 15:09:17+00:00,
طيب في الصرافة والدفع مرفوووضة ليش ؟,,374,,2024-10-08 17:19:12+00:00,
اقدر اسحب من اي صراف داخل المملكه؟؟ وبدون مصارف سحب؟؟,,409,,2024-10-09 19:33:46+00:00,
كيف إلغاء خروج من تطبيق برق نهائي و كل ما احط رقم جوالي ما يجي رمز تحقق,,620,,2024-10-12 02:27:49+00:00,
كم حساب اقدر اسوي ؟ يعني كم بطاقة اقدر اصدر,,619,,2024-10-12 16:58:40+00:00,
"والله انك ماصدقت انا سحبت في النمسا 50 يورو ويشهد الله انهم خصموا 5 يورو زياده<br>وهذا الدليل<br>سحب صراف آلي دولي<br>بطاقة فيزا: **٠٠٠٠٠٠<br>مبلغ: 54.95 EUR (226.16 SAR) <br>لدى :SEEGASSE 12<br>في: 2024-10-12 <a href=""https://www.youtube.com/watch?v=3sN0MnRuADw&amp;t=1284"">21:24</a><br>وانا اصلا سحبت 50 يورو بس",,408,,2024-10-12 21:13:18+00:00,
تشتغل في اي دوله,,373,,2024-10-13 10:43:37+00:00,
انا طلعت لون احمر في التطبيق لاكن لما وصلتني البطاقه طلع لونه أزرق  ماحبيت دا لون  هل اقدر أرجعه  ويبادلوني بنفس اللون زي إلي في التطبيق  أحمر  وكيف الطريقه,,372,,2024-10-17 13:29:49+00:00,
يعيال أنا سجلت وماطلعت لي الالعاب,,618,,2024-10-19 18:48:18+00:00,
هل أستطيع استخدامها في استئجار السيارات بالخارج كبطاقة إئتمانية  ؟<br>هل استطيع استخدامها في السوبر ماركت مثل بطاقة مدى  ؟,,371,,2024-10-26 16:18:06+00:00,
هل أستطيع استخدامها في استئجار السيارات بالخارج كبطاقة إئتمانية  ؟<br>هل استطيع استخدامها في السوبر ماركت مثل بطاقة مدى  ؟,,617,,2024-10-26 16:20:36+00:00,
طيب انا يجيني انصال وش اضغط ولا انتظر تخلص المكالمه,,456,,2024-10-27 06:52:22+00:00,
الله يتزك خير اخي ❤,,616,,2024-10-27 11:54:29+00:00,
محد شرح بالنسبه لتحويل العملة,,615,,2024-10-28 03:31:03+00:00,
هل فيه رسوم لمن أحول من بطاقتي الاساسيه لمحفظة برق ؟,,370,,2024-10-28 18:54:45+00:00,
يخوان عندي مشكله انا مسجل وكل شي ولكن سويت تسجيل خروج ولما اسجل ثاني مره واحط رقمي مايقول رمز تحقق يحول على خانه اكتب رقم هويتك ومتى انولدت ولما اكتب يقولي خطاء في التحقق؟,,614,,2024-10-30 09:15:24+00:00,
نزلت التطبيق وعند التسجيل يقول رقم الهاتف غير مسجل على هويتك ‏‪,,613,,2024-11-02 12:46:41+00:00,
كيف استلم البطاقة وهل في مكان صارفه معين استعملها ولا اقدر استعمل بطاقة برق علي اي صراف الراجحي او الاهلي,,612,,2024-11-02 20:41:19+00:00,
انا بحول علي مصر فودافون كاش بكتب الاسم بيقولي الاسم غير صحيح ازي مش فاهم الرجاء الرد,,611,,2024-11-03 19:43:00+00:00,
كود الدعوه: ‏0DC50B4B9BGCR<br>يعطيك تجرّبه لعب كل نقطه ب 0.50 ريال ويتدبل كل راوند,,610,,2024-11-06 08:29:28+00:00,
شرح كافي وافي شكرا لك.,,609,,2024-11-07 00:04:11+00:00,
مو راضة احث البطاقهف المحفظة,,608,,2024-11-07 03:12:43+00:00,
ممكن رقم دعوه,,607,,2024-11-07 21:11:06+00:00,
التوصيل على أي شركة؟,,455,,2024-11-09 13:02:54+00:00,
لو أنا خارج السعوديه وانا غير سعودي هل استطيع التسجيل,,606,,2024-11-09 21:49:20+00:00,
ترا فيها كاش باك بلعبة عجلة الحظ,,407,,2024-11-15 13:35:36+00:00,
C0C9A7D8F6GCRرمز دعوه,,605,,2024-11-21 01:38:20+00:00,
تطبيق حراميه محول امس1900لواحد <br>الراجحي وما وصلت ندق علي خدمه العملاء مايردووا,,369,,2024-11-21 15:12:13+00:00,
طلبتها لها ثلاثه ايام متي رح توصل الرجاء الرد,,368,,2024-11-25 08:13:46+00:00,
جربتها في اغلب الصرافات ماتسحب كاش,,367,,2024-11-29 06:19:26+00:00,
ممكن تضيف رمز الدعوة 15D01E6179GCR,,366,,2024-12-03 11:53:50+00:00,
التطبيق والبطاقة غير فعالين حولت منذ أسبوع ولم تصل الحوالة حتى الآن وماعليهم الا فتح تذكرة ومافي حل,,365,,2024-12-03 19:46:32+00:00,
B051E839DAGCR,,364,,2024-12-05 17:35:40+00:00,
هل اقدر اطلبها وما عندي.ابشر وهل يمديها يحول لي فيها من اي بنك  وقدر اسحبها وهل فيها رقم ايبان، ااذ ودي يحول لي فيها,,363,,2024-12-08 11:48:59+00:00,
اللي يتصل علي يتكلم انجليزي ليه ؟,,454,,2024-12-10 15:13:51+00:00,
السلام عليكم كيف لو طلعت بطاقه رقميه كيف استخدمها,,362,,2024-12-10 19:22:15+00:00,
يحتاج رقم دعوة من صديق وماعندى,,604,,2024-12-11 08:41:33+00:00,
هل اقدر اسحب كاش من أي بنك صرافة في السعودي بالبطاقة برق,,361,,2024-12-12 02:09:24+00:00,
في كم يوم توصل؟؟؟,,453,,2024-12-14 17:20:40+00:00,
جربتها جميله وصار لها معي ٤ اشهر<br>في الصين وتركيا ودبي جميله جدا انصحكم فيها,,360,,2024-12-16 11:14:28+00:00,
حتى اني كنت في تركيا وماسحبت معي مدى بنك الاهلي حمدالله ان برق معي وسحب,,359,,2024-12-16 11:15:03+00:00,
مو صحيح. انا الامس سحبت منها فلوس في تايلند واخذوا عليي سعر الصرف. بطاقة برق كذب,,406,,2024-12-17 05:22:41+00:00,
تطبيق فاشل مسجل معاهم سنه وكل ما ادخل لابد رقم الجوال وتاريخ الميلاد ورقم الهوية الوطنية <br>كلمة خدمة العملاء بلا نتيجه  مو معقولة كل دخول لابد السجل بياناتك هل في حل ؟,,603,,2024-12-17 16:54:52+00:00,
لو سمحت أنا عندي ماجاش اتصل علشان البطاقه تصدر,,602,,2024-12-17 18:47:49+00:00,
ابي اطلع بطاقة برق من نفس برنامج برق بس يقول لي لم يتم التحقق من IVR,,601,,2024-12-17 19:29:06+00:00,
طيب اقدر اضيف بطاقة برق نفس الرقم الجوال الي موجود في الراجحي ولا لازم رقم جوال ثاني اتمناء الرد 🩵🩵🩵,,405,,2024-12-17 23:21:58+00:00,
الكاش باك وينه,,600,,2024-12-18 15:14:35+00:00,
التطبيق يرفع الضغط الموظفين مو فاهين شي فجاه توقفة بدون سبب دقيت خدمة العملاء مو فاهمين شي يرفعون الضغط,,599,,2024-12-18 15:58:47+00:00,
ايش احط مكان الميلاد ماقبل,,358,,2024-12-19 07:29:35+00:00,
كيف اتبع البطاقه برق طلبت كيف اعرف متى تجيني ??اتمنى الاجابه,,357,,2024-12-20 21:35:26+00:00,
يااخي نفس stc piy,,356,,2024-12-23 07:15:27+00:00,
انا شغاله معي بس في قريتنا ماتسحب فيزا هل اقدر اطلع مدى منها ؟,,355,,2024-12-24 14:22:06+00:00,
كيف احوله مدى,,598,,2024-12-25 06:20:54+00:00,
انا عمري 16 هجري اقدر ادخله؟؟,,597,,2024-12-26 18:21:55+00:00,
اقدر اودع فيها فلوس من صرافه؟,,354,,2024-12-26 22:50:50+00:00,
يعني اصدار وتوصيل البطاقة ماعليه رسوم؟,,596,,2024-12-27 22:01:19+00:00,
طيب اشتري فوق ٥ريال عشان تجيني العجله وهل اشتر من البطاقه ولا من محظة ابل بي,,595,,2024-12-28 20:04:38+00:00,
جيت اضيف البطاقه بمحفظة سامسنج باي يرفض يقول راجع البنك,,594,,2024-12-29 09:19:04+00:00,
واحد مقلقل ياقلبي,,353,,2025-01-02 19:29:10+00:00,
هل اقدر اسجل بدون ابشر,,593,,2025-01-04 04:33:15+00:00,
كداب <br>عملت حواله دوليه بقالي شهر ما وصلت,,404,,2025-01-05 00:17:34+00:00,
الله يعطيك العافية شرح وافي وكافي,,592,,2025-01-06 15:37:13+00:00,
كيف ارسل دعوة او اطلع رمز الدعوة,,591,,2025-01-06 15:46:17+00:00,
ليش الحوالة  تتأخر  وناس كتير بتشتكي انها ما وصلت,,403,,2025-01-07 00:07:35+00:00,
ليش الحوالة  تتأخر  وناس كتير بتشتكي انها ما وصلت,,402,,2025-01-07 00:07:35+00:00,
🤲🤲🤲🤲🤲🤲🤲🤲☝️☝️☝️☝️,,74,,2025-01-07 11:10:01+00:00,
🤲🤲🤲🤲🤲🤲🤲🤲☝️☝️☝️☝️,,28,,2025-01-07 11:10:21+00:00,
🤲🤲🤲🤲🤲🤲🤲🤲☝️☝️☝️☝️,,90,,2025-01-07 11:10:57+00:00,
لتفعيلها عن طريق nfc يجب وضعها تحت الكاميرا يعني في منتصف الجهاز,,352,,2025-01-13 15:04:16+00:00,
يااخي انا سويت كل هذي الخطوات لكن طلع اسم الحساب غير والاسم علا البطاقه غير والاسم الي سويته غير هل استطيع اعدل الاسم,,590,,2025-01-14 01:05:00+00:00,
رحت اشتري فيها نقاط بيع  ترفض سحب,,401,,2025-01-14 08:48:22+00:00,
بعد اذنك بحاول اضيفها علي سامسونج باي بتترفض,,351,,2025-01-17 13:20:15+00:00,
هل يمكن الحصول عليها من خترج السعودية,,589,,2025-01-20 17:22:49+00:00,
انا من المغرب ماقدر اضيف رقم هاتفي,,588,,2025-01-20 22:13:12+00:00,
إذا فتحت حساب عندهم متى تجي البطاقة؟,,587,,2025-01-21 13:54:21+00:00,
لو سمحت انا طلبت بطاقه بس مافي حد رن عليا وموقف على استلمت بطاقة,,586,,2025-01-23 06:25:53+00:00,
قدمت على البطاقه من شهر ورفعت مذكره بطلب البطاقه ولاوصلني شي,,452,,2025-01-23 17:34:14+00:00,
حاسبت وماجتني اللعبه ليش,,73,,2025-01-24 12:56:15+00:00,
متا توصل البطاقه بعد الطلب من البرنامج,,585,,2025-01-24 18:42:19+00:00,
لم تضبط معنا,,350,,2025-01-25 22:50:33+00:00,
والله العظيم من اجمل بنوك في المملكه العربيه السعوديه وهو بنك برق شكرا لبنك برق,,72,,2025-01-26 14:47:46+00:00,
❤❤❤❤❤❤❤❤❤❤❤❤❤❤,,71,,2025-01-26 14:47:54+00:00,
كم يوم وتجي,,349,,2025-01-28 21:37:45+00:00,
ياجماعه ماقدرت استفيد رحت النهدي شريت اغراض وجيت ادفع فيها يطلع مرفوضه مطاعم مرفوضه بقالات وش مشكله,,348,,2025-01-28 22:34:31+00:00,
طلبتها لي اسبوع ماوصلت ولا رجعو لي خبر,,347,,2025-01-30 09:34:57+00:00,
كيف اشحن البطاقة بالمال؟,,346,,2025-01-30 11:27:52+00:00,
كيف اقدر اعمل عمليه ايداع كاش تابعه لاي بنك ؟,,345,,2025-01-30 15:53:40+00:00,
عاوز افعل البطاقه مش لاقي الخيار ده الناس بتعمللها بعد كلمه هل استلمت البطاقه انا  مش بتظهر لي الكلمه دي,,344,,2025-01-30 18:28:38+00:00,
اللي بيطلبها يخليها مدى افضل لان هاذي فيزا مابتقدر تدفع الا بالجوال فقط,,584,,2025-01-31 22:55:50+00:00,
ايش اختار بطاقه فيزا او مدى,,343,,2025-02-01 16:26:05+00:00,
هل فيها كاش باك ثابت مسستقر,,342,,2025-02-02 09:54:29+00:00,
نصيحة لوجه الله<br>حولت عليها مبلغ وماوصلت الحوالة وشكوى وتذاكر ولا احد بيرد عليك<br>حسبي الله ونعم الوكيل,,583,,2025-02-02 15:03:22+00:00,
نصيحة لوجه الله<br>حولت عليها مبلغ وماوصلت الحوالة وشكوى وتذاكر ولا احد بيرد عليك<br>حسبي الله ونعم الوكيل,,70,,2025-02-02 15:06:49+00:00,
نصيحة لوجه الله<br>حولت عليها مبلغ وماوصلت الحوالة وشكوى وتذاكر ولا احد بيرد عليك<br>حسبي الله ونعم الوكيل,,341,,2025-02-02 15:07:27+00:00,
شوفوا ياخوان الموضوع كله نصب مقنن والفلوس ما بتوصل بمواعيد ثابته ممكن تاخد يوم وممكن تاخد شهر وممكن ما تقدر تسترجع فلوسك حتى,,582,,2025-02-04 09:55:07+00:00,
طيب أنا يقول تم رفض طلبك,,581,,2025-02-04 11:26:35+00:00,
افضل محفظة بالنسبة لي 🙏🏼,,253,,2025-02-05 12:04:01+00:00,
يا عيال أنا طالب البطاقه من ٩ اياًم ماوصلتني ممكن احد يفيدني,,252,,2025-02-05 16:01:28+00:00,
مع انه المذكور خلال ٧ ايام كـ حد اكثر,,251,,2025-02-05 16:02:27+00:00,
او عطوني رقم او اي وسيله اتواصل معهم,,250,,2025-02-05 16:03:07+00:00,
فاشل,,69,,2025-02-09 10:48:01+00:00,
فاشل,,400,,2025-02-09 10:48:20+00:00,
بطاقه مدي تستخدم خارج السعوديه,,249,,2025-02-09 19:18:13+00:00,
ياخي انا عندي مشكلة كل ماجي اطلع بطاقه فيزا يقول تم وصول الحد لي طلب البطاقات لايمكن انشاء بطاقه جديده لي 8 ايام احاول  وهل اقدر اطلعها بعدين يعني يوفرون لي بطاقة ؟,,340,,2025-02-09 20:15:19+00:00,
بخرج لليمن يمدي يصدرها قريبي بأسمه وانا استخدمها في اليمن؟,,248,,2025-02-10 08:46:37+00:00,
اي احسن في الكاش باك فيزا وآله مدي,,247,,2025-02-11 20:10:16+00:00,
انا احاسب فيها وما يجيني كاس باك ليش ؟,,246,,2025-02-12 21:13:25+00:00,
ازي افعل بطاقة برق مدي,,245,,2025-02-16 17:11:21+00:00,
يا حبيبي كيف اسجل عيا,,68,,2025-02-17 19:45:20+00:00,
الحين اذا جيت ادفع يرفض وراه؟,,244,,2025-02-18 21:42:37+00:00,
لو سمحت أنا طلبها بقالي اسبوعين او اكثر ولحد الآن ما جت استعلم عنها ازاي ولو جت اعرف ازاي اني جت ؟؟,,451,,2025-02-19 06:20:26+00:00,
أنا حملت التطبيق بس ماطلع لي مركز الالعاب ليش؟؟,,399,,2025-02-19 12:29:09+00:00,
لا نريد رايك الشخصي<br> وإنما نريد رأي الدين في مثل هذا ومدى مشروعيته .. اعتقد انها من انواع القمار,,304,,2025-02-19 13:49:34+00:00,
يعنى م الاخر stc or Mobily pay <br>يعنى اشحن واصرف 😂 <br>مو فيزا بهامش ربح فقط تشحن واصرف,,580,,2025-02-19 16:36:59+00:00,
ما طلع لي هذا الخيار اول ما طلعت الرقميه ؟ وش السبب,,450,,2025-02-20 20:22:01+00:00,
يجي تابي وتمارا؟,,243,,2025-02-20 22:26:03+00:00,
يجي تابي وتمارا؟,,303,,2025-02-20 22:26:56+00:00,
انا طلبت بطاقة مدى والفيزا والريال كيف احذف منها ما احتاجها,,242,,2025-02-22 01:27:00+00:00,
طيب انا طلعت مدى وفيزا الحين السوال كيف ابدل بين حساباتي يعني ابي اشحن بطاقه مدى ماقدر محدد ع بطاقه فيزا لاني طلعتها اول شي اتمنى فهمتني,,302,,2025-02-23 14:50:51+00:00,
ممكن خطوات تحويل الدولي  (مصر)  على محفظه اتصالات,,89,,2025-02-24 16:17:07+00:00,
ممكن فيديو لخطوات التحويل الدولي (مصر)  والتحويل المبلغ على محفظه اتصالات,,88,,2025-02-24 16:18:07+00:00,
لسه من الخلف من الامام تتفعل لاسيلكي,,339,,2025-02-25 16:09:06+00:00,
"<a href=""https://www.youtube.com/watch?v=ZBTYZMnBTSk&amp;t=242"">4:02</a> طيب لو حطيت لا شكرًا وماطلب البلاستيكيه اثناء انشاء الحساب كيف ارجع اطلب البلاستيكيه؟؟",,579,,2025-02-25 23:09:22+00:00,
طيب كيف احول لمدى برق ؟,,578,,2025-02-26 21:40:39+00:00,
بسألك متى بعرف انها وصلتني؟؟,,338,,2025-02-26 23:11:07+00:00,
الحين طلبت بطاقة مدى وجتني وكل لم اعمل عملية يقولي مرفوضة مع العلم فيها رصيد,,241,,2025-02-27 08:02:53+00:00,
الي جربو البطاقه كيف استعمالها,,577,,2025-02-27 10:34:26+00:00,
من وين اطلع رمز الدعوة حقي عشان ارسله للاخرين,,576,,2025-02-28 22:33:53+00:00,
ياخي يقول لازم فوق ١٨ وقت اسجل دخول لكن كل العالم تحت ١٨ ومطلعينها شلون ؟,,301,,2025-03-01 14:12:58+00:00,
يكتبلي يرجى التحقق إذا كنت قد قمت بالفعل بطلب البطاقة والتحقق من حالتها. وش المشكلة?,,337,,2025-03-02 01:01:06+00:00,
فلوسي راحت علي هذا التطبيق ولا يوجد خدمه عملاء,,575,,2025-03-03 08:23:19+00:00,
ليش البطاقة البلاستيكية رقم الحساب مو نفس المحفضه وكيف أحول الفلوس للبطاقه البلاستيكية؟,,574,,2025-03-05 00:45:37+00:00,
هل اذا الاقامه منتهيه لا استطيع اخراجها,,336,,2025-03-05 21:38:38+00:00,
"<a href=""https://www.youtube.com/watch?v=ZBTYZMnBTSk&amp;t=232"">3:52</a> <br>انا مايطلعلي هالخيار بس مكالمة توثيق وخلاص",,573,,2025-03-07 02:41:07+00:00,
طيب انا معايا بطاقة برق فيزا وبرق مدى <br>عايز احول اموال على مدى عشان احاسب بيها ازاى احول على مدى مش الحساب ؟<br>ولا احول ع الحساب ع طول واحاسب ب اى بطاقة عادى,,240,,2025-03-08 12:47:08+00:00,
اقدر اسحب فلوسي من بطاقة فيزا ؟,,239,,2025-03-08 14:06:31+00:00,
بنسبه   لي  . مدى  .أذا ماتفعلت  معك  غير الرقم السري من التطبيق ورح  تظبط 👋👋👍👋👋,,335,,2025-03-08 20:19:05+00:00,
اقدر أودع بها؟,,215,,2025-03-10 01:33:46+00:00,
اهوي محتاجك ضروري ممكن صديق يحول من برق الى ماستر كارد الرافدين العراق,,572,,2025-03-10 18:58:39+00:00,
اشكرك شرح وافي وبكل وضوح,,571,,2025-03-11 01:08:29+00:00,
يخي انا معرفت عن هذا مكان ميلاد دخلت كل بنجليزي انا مواليد ف سعوديه وين احصل,,570,,2025-03-11 08:49:36+00:00,
سويت كل الخطوات.. ولكن ما جاني طلب بطاقة بلاستيكية!!!!,,449,,2025-03-12 04:45:28+00:00,
طلع لي اكثر من بطاقة وش افضل بطاقة,,569,,2025-03-13 16:22:11+00:00,
ازاي اغير رقم الجوال علي برق,,568,,2025-03-13 19:45:19+00:00,
ياخي الله يسعدك ويحفظك ويوفقك يارب حليت ازمه أنا كنت فيها,,448,,2025-03-14 04:18:16+00:00,
طلبت البطاقة اتيجي امته بالله,,567,,2025-03-14 20:26:56+00:00,
انا اول مره عاملو  وطلبت البطاقه اون لاين تيجي بعد كم يوم  بالله,,334,,2025-03-14 21:58:08+00:00,
السلام عليكم ورحمة الله وبركاته كيف احل مشكلة تجميد الحساب تواصلت مع خدمة العملاء بدون اي فايده وعملت تذكرة والمشكله لا زالت موجوده تقريبا 20 يوم,,447,,2025-03-16 16:49:54+00:00,
برق احاول احاسب داخل السعوديه ماتقبل للاسف,,300,,2025-03-17 03:34:55+00:00,
طيب العبه ليه ما تطلع عندي,,299,,2025-03-17 16:29:48+00:00,
وشلون احول من الفيزا برق الي مدى ؟,,238,,2025-03-18 11:30:55+00:00,
عندي بطاقة مدى وبطاقة في ا ، كيف اضيف رصيد للفيزا؟ مايطلع لي الا بطاقة مدى لما اجي اضيف اموال,,566,,2025-03-18 13:24:09+00:00,
لصوص صارلي ٩ ايام محول ماوصلت,,398,,2025-03-19 11:54:30+00:00,
٩وايام ماوصلت الحواله,,67,,2025-03-19 11:56:11+00:00,
هل برق مدى اقدر استخدمها خارج المملكه وهل عليها رسوم في السحب او الدفع ؟,,237,,2025-03-20 04:20:31+00:00,
