comment,intent,source,confidence,latency_ms,cost_usd,stage
ياخي مو مرتاح اخاف انه يعتبر قمار اللي يعرف حكمه يعلمني ؟,Question,gpt-4o-mini,0.95,764.61,2.7e-05,training
في buk برق ١٣ ريال كيف اطلعها,Question,gpt-4o-mini,0.95,768.94,2.5e-05,training
سلام لما احط تفعيل معرفة الوجه يحط ان فيه مشكله من الاعدادات ومافيه شي كل شي مفعل ايش الحل,Question,gpt-4o-mini,0.95,811.55,2.8e-05,training
و هل يعمل هنا في الجزائر اخي,Question,gpt-4o-mini,0.95,824.54,2.5e-05,training
السلام عليكم ورحمة الله وبركاته <br>انا نزلت التطبيق بحول اسجل بديني الرقم خطا,Complaint,gpt-4o-mini,0.95,947.89,2.7e-05,training
17dca2f795gcr,Statement,gpt-4o-mini,0.95,810.87,2.7e-05,training
بيقولي رقم التليفون غلط,Complaint,gpt-4o-mini,0.95,810.79,2.5e-05,training
598e5e2f0cgcr,Statement,gpt-4o-mini,0.95,845.03,2.8e-05,training
طيب كيف افعل البطاقه,Question,gpt-4o-mini,0.95,697.89,2.5e-05,training
طلبت من 15 يوم ماوصلت ليه😭,Complaint,gpt-4o-mini,0.95,790.33,2.6e-05,training
لو سمحتم طلعت بطاقة ولم تتفعل عندي <br>وتم تنشيط البطاقه <br>عندي <br>ولم اقدر اسحب من نقاط البيع,Complaint,gpt-4o-mini,0.95,1411.03,3e-05,training
كيف اسجل من جديد في تطبيق,Question,gpt-4o-mini,0.95,764.0,2.5e-05,training
ارجو الرد علا سألي هلا عندهم بطاقة مدى ولا بس فيزا,Question,gpt-4o-mini,0.95,826.22,2.6e-05,training
ياعيال انا عندي بنك الرياض بعد ماطلعتها يضرها ولا ؟,Question,gpt-4o-mini,0.95,765.93,2.6e-05,training
انا باجي ادخل رقمي ما بيرضاش,Complaint,gpt-4o-mini,0.95,870.08,2.5e-05,training
انا باجي ادخل رقمي ما بيرضاش هو لازم ابقى موجود في السعوديه عشان يشتغل,Complaint,gpt-4o-mini,0.95,650.36,2.7e-05,training
80b5157d61gcr,Statement,gpt-4o-mini,0.95,681.34,2.7e-05,training
عندي سؤال بس هل اقدر استخدم اس تي سي باي الفيزا في علي اكسبرس,Question,gpt-4o-mini,0.95,1645.03,2.7e-05,training
ممكن شرح التحويل الدولي ؟,Question,gpt-4o-mini,0.95,702.58,2.5e-05,training
أنا عندي إس تي سي باي هل إذا فعلت برق هل يضر <br>أرجو الإفادة🌹,Question,gpt-4o-mini,0.95,790.35,2.8e-05,training
حولت مبلغ على محفظة برق وماوصلني ايش السبب,Question,gpt-4o-mini,0.95,1431.54,2.6e-05,training
طيب في الصرافة والدفع مرفوووضة ليش ؟,Question,gpt-4o-mini,0.95,790.39,2.6e-05,training
اقدر اسحب من اي صراف داخل المملكه؟؟ وبدون مصارف سحب؟؟,Question,gpt-4o-mini,0.95,787.75,2.7e-05,training
كيف إلغاء خروج من تطبيق برق نهائي و كل ما احط رقم جوالي ما يجي رمز تحقق,Question,gpt-4o-mini,0.95,930.87,2.7e-05,training
كم حساب اقدر اسوي ؟ يعني كم بطاقة اقدر اصدر,Question,gpt-4o-mini,0.95,805.45,2.6e-05,training
"والله انك ماصدقت انا سحبت في النمسا 50 يورو ويشهد الله انهم خصموا 5 يورو زياده<br>وهذا الدليل<br>سحب صراف آلي دولي<br>بطاقة فيزا: **٠٠٠٠٠٠<br>مبلغ: 54.95 eur (226.16 sar) <br>لدى :seegasse 12<br>في: 2024-10-12 <a href=""https://www.youtube.com/watch?v=3sn0mnruadw&amp;t=1284"">21:24</a><br>وانا اصلا سحبت 50 يورو بس",Complaint,gpt-4o-mini,0.95,819.68,4.8e-05,training
تشتغل في اي دوله,Question,gpt-4o-mini,0.95,1431.9,2.5e-05,training
انا طلعت لون احمر في التطبيق لاكن لما وصلتني البطاقه طلع لونه أزرق  ماحبيت دا لون  هل اقدر أرجعه  ويبادلوني بنفس اللون زي إلي في التطبيق  أحمر  وكيف الطريقه,Question,gpt-4o-mini,0.95,736.2,3.2e-05,training
يعيال أنا سجلت وماطلعت لي الالعاب,Complaint,gpt-4o-mini,0.95,795.65,2.6e-05,training
هل أستطيع استخدامها في استئجار السيارات بالخارج كبطاقة إئتمانية  ؟<br>هل استطيع استخدامها في السوبر ماركت مثل بطاقة مدى  ؟,Question,gpt-4o-mini,0.95,811.34,2.9e-05,training
طيب انا يجيني انصال وش اضغط ولا انتظر تخلص المكالمه,Question,gpt-4o-mini,0.95,732.03,2.6e-05,training
الله يتزك خير اخي ❤,Praise,gpt-4o-mini,0.95,993.49,2.5e-05,training
محد شرح بالنسبه لتحويل العملة,Question,gpt-4o-mini,0.95,823.32,2.5e-05,training
هل فيه رسوم لمن أحول من بطاقتي الاساسيه لمحفظة برق ؟,Question,gpt-4o-mini,0.95,756.21,2.6e-05,training
يخوان عندي مشكله انا مسجل وكل شي ولكن سويت تسجيل خروج ولما اسجل ثاني مره واحط رقمي مايقول رمز تحقق يحول على خانه اكتب رقم هويتك ومتى انولدت ولما اكتب يقولي خطاء في التحقق؟,Complaint,gpt-4o-mini,0.95,846.91,3.5e-05,training
نزلت التطبيق وعند التسجيل يقول رقم الهاتف غير مسجل على هويتك ‏‪,Complaint,gpt-4o-mini,0.95,802.82,2.7e-05,training
كيف استلم البطاقة وهل في مكان صارفه معين استعملها ولا اقدر استعمل بطاقة برق علي اي صراف الراجحي او الاهلي,Question,gpt-4o-mini,0.95,1134.09,2.8e-05,training
انا بحول علي مصر فودافون كاش بكتب الاسم بيقولي الاسم غير صحيح ازي مش فاهم الرجاء الرد,Question,gpt-4o-mini,0.95,675.72,2.8e-05,training
كود الدعوه: ‏0dc50b4b9bgcr<br>يعطيك تجرّبه لعب كل نقطه ب 0.50 ريال ويتدبل كل راوند,Statement,gpt-4o-mini,0.95,805.3,3e-05,training
شرح كافي وافي شكرا لك.,Praise,gpt-4o-mini,0.95,785.17,2.5e-05,training
مو راضة احث البطاقهف المحفظة,Complaint,gpt-4o-mini,0.95,937.12,2.6e-05,training
ممكن رقم دعوه,Question,gpt-4o-mini,0.95,895.89,2.5e-05,training
التوصيل على أي شركة؟,Question,gpt-4o-mini,0.95,861.74,2.5e-05,training
لو أنا خارج السعوديه وانا غير سعودي هل استطيع التسجيل,Question,gpt-4o-mini,0.95,890.7,2.6e-05,training
ترا فيها كاش باك بلعبة عجلة الحظ,Statement,gpt-4o-mini,0.95,1031.65,2.6e-05,training
c0c9a7d8f6gcrرمز دعوه,Statement,gpt-4o-mini,0.95,623.52,2.6e-05,training
تطبيق حراميه محول امس1900لواحد <br>الراجحي وما وصلت ندق علي خدمه العملاء مايردووا,Complaint,gpt-4o-mini,0.95,900.14,2.9e-05,training
طلبتها لها ثلاثه ايام متي رح توصل الرجاء الرد,Question,gpt-4o-mini,0.95,928.06,2.6e-05,training
جربتها في اغلب الصرافات ماتسحب كاش,Complaint,gpt-4o-mini,0.95,779.9,2.6e-05,training
ممكن تضيف رمز الدعوة 15d01e6179gcr,Question,gpt-4o-mini,0.95,807.69,2.6e-05,training
التطبيق والبطاقة غير فعالين حولت منذ أسبوع ولم تصل الحوالة حتى الآن وماعليهم الا فتح تذكرة ومافي حل,Complaint,gpt-4o-mini,0.95,882.73,2.8e-05,training
b051e839dagcr,Statement,gpt-4o-mini,0.95,753.84,2.7e-05,training
هل اقدر اطلبها وما عندي.ابشر وهل يمديها يحول لي فيها من اي بنك  وقدر اسحبها وهل فيها رقم ايبان، ااذ ودي يحول لي فيها,Question,gpt-4o-mini,0.95,836.28,3e-05,training
اللي يتصل علي يتكلم انجليزي ليه ؟,Question,gpt-4o-mini,0.95,854.18,2.6e-05,training
السلام عليكم كيف لو طلعت بطاقه رقميه كيف استخدمها,Question,gpt-4o-mini,0.95,757.34,2.6e-05,training
يحتاج رقم دعوة من صديق وماعندى,Question,gpt-4o-mini,0.95,761.41,2.5e-05,training
هل اقدر اسحب كاش من أي بنك صرافة في السعودي بالبطاقة برق,Question,gpt-4o-mini,0.95,771.79,2.7e-05,training
في كم يوم توصل؟؟؟,Question,gpt-4o-mini,0.95,787.32,2.5e-05,training
جربتها جميله وصار لها معي ٤ اشهر<br>في الصين وتركيا ودبي جميله جدا انصحكم فيها,Praise,gpt-4o-mini,0.95,906.84,2.8e-05,training
حتى اني كنت في تركيا وماسحبت معي مدى بنك الاهلي حمدالله ان برق معي وسحب,Statement,gpt-4o-mini,0.95,726.28,2.7e-05,training
مو صحيح. انا الامس سحبت منها فلوس في تايلند واخذوا عليي سعر الصرف. بطاقة برق كذب,Complaint,gpt-4o-mini,0.95,1011.03,2.8e-05,training
تطبيق فاشل مسجل معاهم سنه وكل ما ادخل لابد رقم الجوال وتاريخ الميلاد ورقم الهوية الوطنية <br>كلمة خدمة العملاء بلا نتيجه  مو معقولة كل دخول لابد السجل بياناتك هل في حل ؟,Complaint,gpt-4o-mini,0.95,914.52,3.4e-05,training
لو سمحت أنا عندي ماجاش اتصل علشان البطاقه تصدر,Complaint,gpt-4o-mini,0.95,797.47,2.7e-05,training
ابي اطلع بطاقة برق من نفس برنامج برق بس يقول لي لم يتم التحقق من ivr,Complaint,gpt-4o-mini,0.95,1043.76,2.7e-05,training
طيب اقدر اضيف بطاقة برق نفس الرقم الجوال الي موجود في الراجحي ولا لازم رقم جوال ثاني اتمناء الرد 🩵🩵🩵,Question,gpt-4o-mini,0.95,1127.38,2.9e-05,training
الكاش باك وينه,Question,gpt-4o-mini,0.95,762.92,2.5e-05,training
التطبيق يرفع الضغط الموظفين مو فاهين شي فجاه توقفة بدون سبب دقيت خدمة العملاء مو فاهمين شي يرفعون الضغط,Complaint,gpt-4o-mini,0.95,857.83,2.9e-05,training
ايش احط مكان الميلاد ماقبل,Question,gpt-4o-mini,0.95,727.55,2.5e-05,training
كيف اتبع البطاقه برق طلبت كيف اعرف متى تجيني ??اتمنى الاجابه,Question,gpt-4o-mini,0.95,818.42,2.7e-05,training
يااخي نفس stc piy,Statement,gpt-4o-mini,0.95,666.23,2.5e-05,training
انا شغاله معي بس في قريتنا ماتسحب فيزا هل اقدر اطلع مدى منها ؟,Question,gpt-4o-mini,0.95,877.52,2.7e-05,training
كيف احوله مدى,Question,gpt-4o-mini,0.95,911.68,2.4e-05,training
انا عمري 16 هجري اقدر ادخله؟؟,Question,gpt-4o-mini,0.95,1605.26,2.6e-05,training
اقدر اودع فيها فلوس من صرافه؟,Question,gpt-4o-mini,0.95,1309.3,2.6e-05,training
يعني اصدار وتوصيل البطاقة ماعليه رسوم؟,Question,gpt-4o-mini,0.95,1798.64,2.6e-05,training
طيب اشتري فوق ٥ريال عشان تجيني العجله وهل اشتر من البطاقه ولا من محظة ابل بي,Question,gpt-4o-mini,0.95,726.19,2.8e-05,training
جيت اضيف البطاقه بمحفظة سامسنج باي يرفض يقول راجع البنك,Complaint,gpt-4o-mini,0.95,831.4,2.7e-05,training
واحد مقلقل ياقلبي,Statement,gpt-4o-mini,0.95,886.36,2.5e-05,training
هل اقدر اسجل بدون ابشر,Question,gpt-4o-mini,0.95,1228.72,2.5e-05,training
كداب <br>عملت حواله دوليه بقالي شهر ما وصلت,Complaint,gpt-4o-mini,0.95,619.81,2.6e-05,training
الله يعطيك العافية شرح وافي وكافي,Praise,gpt-4o-mini,0.95,1248.68,2.5e-05,training
كيف ارسل دعوة او اطلع رمز الدعوة,Question,gpt-4o-mini,0.95,605.05,2.5e-05,training
ليش الحوالة  تتأخر  وناس كتير بتشتكي انها ما وصلت,Complaint,gpt-4o-mini,0.95,2301.45,2.7e-05,training
🤲🤲🤲🤲🤲🤲🤲🤲☝️☝️☝️☝️,Statement,gpt-4o-mini,0.95,763.13,3e-05,training
لتفعيلها عن طريق nfc يجب وضعها تحت الكاميرا يعني في منتصف الجهاز,Statement,gpt-4o-mini,0.95,601.43,2.7e-05,training
يااخي انا سويت كل هذي الخطوات لكن طلع اسم الحساب غير والاسم علا البطاقه غير والاسم الي سويته غير هل استطيع اعدل الاسم,Question,gpt-4o-mini,0.95,870.71,2.9e-05,training
رحت اشتري فيها نقاط بيع  ترفض سحب,Complaint,gpt-4o-mini,0.95,881.11,2.6e-05,training
بعد اذنك بحاول اضيفها علي سامسونج باي بتترفض,Complaint,gpt-4o-mini,0.95,812.02,2.6e-05,training
هل يمكن الحصول عليها من خترج السعودية,Question,gpt-4o-mini,0.95,935.18,2.5e-05,training
انا من المغرب ماقدر اضيف رقم هاتفي,Statement,gpt-4o-mini,0.95,795.82,2.5e-05,training
إذا فتحت حساب عندهم متى تجي البطاقة؟,Question,gpt-4o-mini,0.95,819.4,2.6e-05,training
لو سمحت انا طلبت بطاقه بس مافي حد رن عليا وموقف على استلمت بطاقة,Complaint,gpt-4o-mini,0.95,1037.81,2.7e-05,training
قدمت على البطاقه من شهر ورفعت مذكره بطلب البطاقه ولاوصلني شي,Complaint,gpt-4o-mini,0.95,857.59,2.7e-05,training
حاسبت وماجتني اللعبه ليش,Complaint,gpt-4o-mini,0.95,865.1,2.5e-05,training
متا توصل البطاقه بعد الطلب من البرنامج,Question,gpt-4o-mini,0.95,671.11,2.5e-05,training
لم تضبط معنا,Complaint,gpt-4o-mini,0.95,1006.06,2.4e-05,training
والله العظيم من اجمل بنوك في المملكه العربيه السعوديه وهو بنك برق شكرا لبنك برق,Praise,gpt-4o-mini,0.95,676.75,2.7e-05,training
❤❤❤❤❤❤❤❤❤❤❤❤❤❤,Praise,gpt-4o-mini,0.95,755.45,2.6e-05,training
كم يوم وتجي,Question,gpt-4o-mini,0.95,1032.49,2.4e-05,training
ياجماعه ماقدرت استفيد رحت النهدي شريت اغراض وجيت ادفع فيها يطلع مرفوضه مطاعم مرفوضه بقالات وش مشكله,Complaint,gpt-4o-mini,0.95,770.13,3e-05,training
طلبتها لي اسبوع ماوصلت ولا رجعو لي خبر,Complaint,gpt-4o-mini,0.95,808.28,2.6e-05,training
كيف اشحن البطاقة بالمال؟,Question,gpt-4o-mini,0.95,838.93,2.5e-05,training
كيف اقدر اعمل عمليه ايداع كاش تابعه لاي بنك ؟,Question,gpt-4o-mini,0.95,1116.27,2.6e-05,training
عاوز افعل البطاقه مش لاقي الخيار ده الناس بتعمللها بعد كلمه هل استلمت البطاقه انا  مش بتظهر لي الكلمه دي,Question,gpt-4o-mini,0.95,903.43,2.9e-05,training
اللي بيطلبها يخليها مدى افضل لان هاذي فيزا مابتقدر تدفع الا بالجوال فقط,Suggestion,gpt-4o-mini,0.95,756.45,2.8e-05,training
ايش اختار بطاقه فيزا او مدى,Question,gpt-4o-mini,0.95,717.22,2.5e-05,training
هل فيها كاش باك ثابت مسستقر,Question,gpt-4o-mini,0.95,826.14,2.5e-05,training
نصيحة لوجه الله<br>حولت عليها مبلغ وماوصلت الحوالة وشكوى وتذاكر ولا احد بيرد عليك<br>حسبي الله ونعم الوكيل,Complaint,gpt-4o-mini,0.95,729.78,3e-05,training
شوفوا ياخوان الموضوع كله نصب مقنن والفلوس ما بتوصل بمواعيد ثابته ممكن تاخد يوم وممكن تاخد شهر وممكن ما تقدر تسترجع فلوسك حتى,Complaint,gpt-4o-mini,0.95,800.96,3.1e-05,training
طيب أنا يقول تم رفض طلبك,Statement,gpt-4o-mini,0.95,781.67,2.5e-05,training
افضل محفظة بالنسبة لي 🙏🏼,Praise,gpt-4o-mini,0.95,726.65,2.5e-05,training
يا عيال أنا طالب البطاقه من ٩ اياًم ماوصلتني ممكن احد يفيدني,Question,gpt-4o-mini,0.95,696.45,2.7e-05,training
مع انه المذكور خلال ٧ ايام كـ حد اكثر,Statement,gpt-4o-mini,0.95,803.57,2.6e-05,training
او عطوني رقم او اي وسيله اتواصل معهم,Question,gpt-4o-mini,0.95,853.32,2.5e-05,training
فاشل,Complaint,gpt-4o-mini,0.95,831.6,2.4e-05,training
بطاقه مدي تستخدم خارج السعوديه,Question,gpt-4o-mini,0.95,847.73,2.5e-05,training
ياخي انا عندي مشكلة كل ماجي اطلع بطاقه فيزا يقول تم وصول الحد لي طلب البطاقات لايمكن انشاء بطاقه جديده لي 8 ايام احاول  وهل اقدر اطلعها بعدين يعني يوفرون لي بطاقة ؟,Question,gpt-4o-mini,0.95,753.51,3.2e-05,training
بخرج لليمن يمدي يصدرها قريبي بأسمه وانا استخدمها في اليمن؟,Question,gpt-4o-mini,0.95,828.98,2.7e-05,training
اي احسن في الكاش باك فيزا وآله مدي,Question,gpt-4o-mini,0.95,902.77,2.6e-05,training
انا احاسب فيها وما يجيني كاس باك ليش ؟,Question,gpt-4o-mini,0.95,744.56,2.6e-05,training
ازي افعل بطاقة برق مدي,Question,gpt-4o-mini,0.95,1019.41,2.5e-05,training
يا حبيبي كيف اسجل عيا,Question,gpt-4o-mini,0.95,849.57,2.5e-05,training
الحين اذا جيت ادفع يرفض وراه؟,Question,gpt-4o-mini,0.95,832.83,2.5e-05,training
لو سمحت أنا طلبها بقالي اسبوعين او اكثر ولحد الآن ما جت استعلم عنها ازاي ولو جت اعرف ازاي اني جت ؟؟,Question,gpt-4o-mini,0.95,1126.19,2.9e-05,training
أنا حملت التطبيق بس ماطلع لي مركز الالعاب ليش؟؟,Question,gpt-4o-mini,0.95,852.67,2.6e-05,training
لا نريد رايك الشخصي<br> وإنما نريد رأي الدين في مثل هذا ومدى مشروعيته .. اعتقد انها من انواع القمار,Question,gpt-4o-mini,0.95,751.48,2.9e-05,training
يعنى م الاخر stc or mobily pay <br>يعنى اشحن واصرف 😂 <br>مو فيزا بهامش ربح فقط تشحن واصرف,Statement,gpt-4o-mini,0.95,898.45,3e-05,training
ما طلع لي هذا الخيار اول ما طلعت الرقميه ؟ وش السبب,Question,gpt-4o-mini,0.95,675.0,2.6e-05,training
يجي تابي وتمارا؟,Question,gpt-4o-mini,0.95,1312.72,2.5e-05,training
انا طلبت بطاقة مدى والفيزا والريال كيف احذف منها ما احتاجها,Question,gpt-4o-mini,0.95,744.06,2.7e-05,training
طيب انا طلعت مدى وفيزا الحين السوال كيف ابدل بين حساباتي يعني ابي اشحن بطاقه مدى ماقدر محدد ع بطاقه فيزا لاني طلعتها اول شي اتمنى فهمتني,Question,gpt-4o-mini,0.95,854.21,3.1e-05,training
ممكن خطوات تحويل الدولي  (مصر)  على محفظه اتصالات,Question,gpt-4o-mini,0.95,809.35,2.6e-05,training
ممكن فيديو لخطوات التحويل الدولي (مصر)  والتحويل المبلغ على محفظه اتصالات,Question,gpt-4o-mini,0.95,2163.05,2.7e-05,training
لسه من الخلف من الامام تتفعل لاسيلكي,Statement,gpt-4o-mini,0.95,663.04,2.6e-05,training
"<a href=""https://www.youtube.com/watch?v=zbtyzmnbtsk&amp;t=242"">4:02</a> طيب لو حطيت لا شكرًا وماطلب البلاستيكيه اثناء انشاء الحساب كيف ارجع اطلب البلاستيكيه؟؟",Question,gpt-4o-mini,0.95,1602.36,3.5e-05,training
طيب كيف احول لمدى برق ؟,Question,gpt-4o-mini,0.95,767.13,2.5e-05,training
بسألك متى بعرف انها وصلتني؟؟,Question,gpt-4o-mini,0.95,953.15,2.5e-05,training
الحين طلبت بطاقة مدى وجتني وكل لم اعمل عملية يقولي مرفوضة مع العلم فيها رصيد,Complaint,gpt-4o-mini,0.95,812.34,2.8e-05,training
الي جربو البطاقه كيف استعمالها,Question,gpt-4o-mini,0.95,750.19,2.5e-05,training
من وين اطلع رمز الدعوة حقي عشان ارسله للاخرين,Question,gpt-4o-mini,0.95,838.01,2.6e-05,training
ياخي يقول لازم فوق ١٨ وقت اسجل دخول لكن كل العالم تحت ١٨ ومطلعينها شلون ؟,Question,gpt-4o-mini,0.95,952.84,2.8e-05,training
يكتبلي يرجى التحقق إذا كنت قد قمت بالفعل بطلب البطاقة والتحقق من حالتها. وش المشكلة?,Question,gpt-4o-mini,0.95,1047.37,2.8e-05,training
فلوسي راحت علي هذا التطبيق ولا يوجد خدمه عملاء,Complaint,gpt-4o-mini,0.95,635.25,2.6e-05,training
ليش البطاقة البلاستيكية رقم الحساب مو نفس المحفضه وكيف أحول الفلوس للبطاقه البلاستيكية؟,Question,gpt-4o-mini,0.95,895.17,2.8e-05,training
هل اذا الاقامه منتهيه لا استطيع اخراجها,Question,gpt-4o-mini,0.95,1437.41,2.6e-05,training
"<a href=""https://www.youtube.com/watch?v=zbtyzmnbtsk&amp;t=232"">3:52</a> <br>انا مايطلعلي هالخيار بس مكالمة توثيق وخلاص",Statement,gpt-4o-mini,0.95,909.23,3.1e-05,training
طيب انا معايا بطاقة برق فيزا وبرق مدى <br>عايز احول اموال على مدى عشان احاسب بيها ازاى احول على مدى مش الحساب ؟<br>ولا احول ع الحساب ع طول واحاسب ب اى بطاقة عادى,Question,gpt-4o-mini,0.95,1128.48,3.2e-05,training
اقدر اسحب فلوسي من بطاقة فيزا ؟,Question,gpt-4o-mini,0.95,717.09,2.5e-05,training
بنسبه   لي  . مدى  .أذا ماتفعلت  معك  غير الرقم السري من التطبيق ورح  تظبط 👋👋👍👋👋,Suggestion,gpt-4o-mini,0.95,647.01,3e-05,training
اقدر أودع بها؟,Question,gpt-4o-mini,0.95,886.8,2.5e-05,training
